document_number;alert;transaction;operation
2000001164;125;1677;1
2000001165;165;1363;5
2000001166;128;1634;5
2000001167;172;1568;4
2000001168;160;1946;3
2000001169;179;1768;5
2000001170;169;1969;5
2000001171;156;1286;5
2000001172;158;1806;4
2000001173;151;1669;4
2000001174;153;1781;3
2000001175;109;1666;5
2000001176;193;1959;3
2000001177;107;1074;2
2000001178;139;1766;0
2000001179;136;1358;4
2000001180;114;1586;2
2000001181;118;1230;1
2000001182;112;1685;2
2000001183;122;1376;5
2000001184;122;1408;2
2000001185;137;1858;3
2000001186;111;1969;1
2000001187;172;1890;4
2000001188;142;1705;1
2000001189;142;1953;1
2000001190;176;1006;2
2000001191;135;1394;5
2000001192;172;1363;3
2000001193;194;1678;4
2000001194;183;1615;2
2000001195;195;1373;4
2000001196;199;1538;4
2000001197;114;1260;0
2000001198;178;1810;3
2000001199;129;1676;5
2000001200;166;1242;3
2000001201;163;1138;0
2000001202;195;1450;0
2000001203;155;1914;1
2000001204;190;1736;5
2000001205;106;1087;1
2000001206;126;1826;1
2000001207;100;1990;1
2000001208;109;1794;1
2000001209;184;1822;3
2000001210;107;1661;0
2000001211;139;1847;5
2000001212;105;1408;0
2000001213;139;1347;0
2000001214;174;1087;1
2000001215;123;1335;0
2000001216;163;1037;2
2000001217;142;1950;3
2000001218;136;1233;4
2000001219;129;1563;2
2000001220;100;1314;0
2000001221;167;1780;3
2000001222;163;1557;3
2000001223;151;1735;4
2000001224;148;1580;1
2000001225;138;1546;5
2000001226;111;1397;3
2000001227;129;1480;1
2000001228;141;1512;4
2000001229;111;1554;2
2000001230;181;1042;3
2000001231;171;1571;3
2000001232;192;1262;4
2000001233;113;1555;0
2000001234;145;1342;4
2000001235;101;1108;5
2000001236;103;1281;0
2000001237;151;1935;4
2000001238;181;1857;5
2000001239;161;1651;4
2000001240;185;1266;3
2000001241;175;1259;1
2000001242;130;1476;0
2000001243;110;1110;2
2000001244;186;1715;1
2000001245;146;1398;4
2000001246;197;1993;0
2000001247;110;1712;4
2000001248;167;1166;4
2000001249;119;1319;1
2000001250;177;1630;0
2000001251;187;1666;2
2000001252;119;1512;1
2000001253;134;1923;3
2000001254;120;1671;3
2000001255;156;1877;4
2000001256;137;1017;1
2000001257;147;1810;4
2000001258;182;1390;3
2000001259;168;1878;4
2000001260;142;1569;3
2000001261;153;1508;2
2000001262;160;1343;3
2000001263;194;1051;4
2000001264;148;1279;3
2000001265;127;1293;4
2000001266;164;1359;3
2000001267;118;1703;4
2000001268;164;1637;2
2000001269;100;1814;3
2000001270;158;1682;3
2000001271;138;1533;5
2000001272;181;1380;3
2000001273;133;1520;3
2000001274;112;1089;1
2000001275;129;1545;2
2000001276;110;1515;0
2000001277;185;1958;5
2000001278;163;1190;0
2000001279;100;1606;1
2000001280;100;1606;4
2000001281;151;1300;1
2000001282;182;1094;0
2000001283;190;1725;4
2000001284;120;1965;1
2000001285;123;1651;2
2000001286;165;1912;2
2000001287;184;1959;3
2000001288;162;1152;3
2000001289;147;1958;0
2000001290;151;1831;1
2000001291;100;1264;2
2000001292;161;1367;2
2000001293;133;1104;2
2000001294;139;1029;0
2000001295;153;1026;0
2000001296;193;1182;4
2000001297;152;1903;3
2000001298;115;1839;3
2000001299;178;1428;3
2000001300;163;1767;2
2000001301;170;1406;3
2000001302;134;1647;4
2000001303;189;1990;3
2000001304;109;1400;5
2000001305;192;1865;1
2000001306;195;1031;5
2000001307;184;1867;3
2000001308;146;1725;0
2000001309;167;1805;2
2000001310;111;1101;1
2000001311;142;1558;2
2000001312;199;1264;0
2000001313;197;1082;0
2000001314;114;1759;1
2000001315;184;1529;1
2000001316;164;1876;5
2000001317;169;1133;2
2000001318;114;1249;0
2000001319;121;1614;0
2000001320;143;1565;4
2000001321;198;1613;4
2000001322;110;1198;5
2000001323;117;1647;4
2000001324;182;1165;5
2000001325;161;1081;3
2000001326;180;1274;3
2000001327;140;1928;3
2000001328;153;1444;4
2000001329;174;1496;1
2000001330;113;1349;4
2000001331;146;1254;0
2000001332;135;1402;4
2000001333;111;1310;3
2000001334;128;1892;0
2000001335;120;1430;0
2000001336;190;1671;0
2000001337;149;1023;4
2000001338;119;1444;4
2000001339;171;1130;4
2000001340;114;1231;2
2000001341;100;1832;5
2000001342;149;1969;4
2000001343;187;1375;4
2000001344;183;1291;3
2000001345;170;1452;0
2000001346;145;1504;3
2000001347;157;1003;4
2000001348;104;1655;2
2000001349;105;1127;3
2000001350;160;1521;3
2000001351;199;1356;3
2000001352;147;1702;1
2000001353;182;1973;3
2000001354;161;1853;5
2000001355;121;1889;3
2000001356;136;1409;0
2000001357;153;1070;1
2000001358;199;1492;1
2000001359;148;1767;1
2000001360;194;1913;3
2000001361;161;1114;0
2000001362;110;1301;1
2000001363;157;1403;0
2000001364;147;1670;0
2000001365;174;1074;4
2000001366;120;1071;1
2000001367;127;1764;5
2000001368;163;1092;3
2000001369;198;1700;3
2000001370;120;1311;3
2000001371;111;1339;0
2000001372;146;1351;4
2000001373;103;1613;1
2000001374;185;1898;1
2000001375;197;1391;5
2000001376;109;1969;4
2000001377;171;1814;4
2000001378;152;1117;3
2000001379;144;1842;1
2000001380;128;1255;0
2000001381;113;1508;3
2000001382;117;1634;3
2000001383;150;1390;1
2000001384;127;1156;1
2000001385;172;1923;0
2000001386;135;1149;2
2000001387;143;1481;3
2000001388;151;1079;0
2000001389;140;1060;0
2000001390;114;1280;3
2000001391;150;1207;0
2000001392;135;1172;5
2000001393;139;1503;3
2000001394;145;1583;0
2000001395;196;1566;3
2000001396;107;1797;3
2000001397;102;1053;4
2000001398;178;1641;0
2000001399;115;1937;3
2000001400;193;1891;4
2000001401;198;1591;2
2000001402;173;1062;4
2000001403;147;1778;3
2000001404;156;1180;3
2000001405;188;1055;1
2000001406;161;1336;0
2000001407;191;1587;5
2000001408;154;1996;1
2000001409;159;1364;5
2000001410;173;1910;4
2000001411;115;1543;4
2000001412;112;1167;4
2000001413;161;1098;4
2000001414;106;1713;4
2000001415;161;1038;3
2000001416;167;1652;0
2000001417;158;1237;4
2000001418;187;1414;2
2000001419;127;1066;1
2000001420;174;1060;3
2000001421;177;1650;5
2000001422;126;1716;3
2000001423;112;1318;3
2000001424;101;1912;2
2000001425;141;1948;0
2000001426;150;1290;5
2000001427;126;1941;3
2000001428;124;1104;0
2000001429;174;1511;3
2000001430;184;1803;0
2000001431;192;1341;2
2000001432;126;1438;2
2000001433;101;1056;0
2000001434;148;1655;4
2000001435;190;1424;4
2000001436;112;1079;2
2000001437;119;1201;2
2000001438;112;1479;1
2000001439;111;1875;0
2000001440;183;1078;2
2000001441;183;1857;4
2000001442;126;1503;1
2000001443;178;1213;3
2000001444;139;1474;0
2000001445;166;1005;0
2000001446;146;1806;4
2000001447;144;1542;4
2000001448;186;1172;4
2000001449;158;1198;0
2000001450;196;1502;1
2000001451;142;1885;1
2000001452;159;1154;5
2000001453;155;1465;2
2000001454;130;1635;2
2000001455;181;1381;1
2000001456;157;1204;5
2000001457;161;1175;3
2000001458;108;1736;5
2000001459;138;1902;0
2000001460;177;1337;3
2000001461;193;1198;5
2000001462;107;1645;2
2000001463;145;1751;5
2000001464;148;1208;1
2000001465;149;1281;2
2000001466;111;1171;3
2000001467;100;1719;3
2000001468;128;1700;2
2000001469;134;1018;3
2000001470;121;1852;3
2000001471;127;1973;4
2000001472;191;1253;1
2000001473;146;1817;3
2000001474;176;1649;4
2000001475;154;1568;3
2000001476;109;1040;0
2000001477;191;1493;1
2000001478;134;1871;5
2000001479;102;1386;2
2000001480;155;1651;4
2000001481;156;1497;1
2000001482;106;1677;2
2000001483;141;1269;3
2000001484;149;1781;3
2000001485;180;1167;1
2000001486;187;1701;3
2000001487;135;1888;2
2000001488;132;1190;3
2000001489;107;1295;3
2000001490;120;1479;1
2000001491;172;1295;2
2000001492;111;1552;3
2000001493;171;1907;5
2000001494;158;1666;1
2000001495;184;1006;3
2000001496;174;1328;5
2000001497;170;1777;3
2000001498;144;1903;1
2000001499;197;1471;5
2000001500;175;1861;4
2000001501;108;1710;4
2000001502;121;1223;4
2000001503;166;1282;5
2000001504;177;1743;1
2000001505;185;1690;4
2000001506;100;1525;1
2000001507;188;1227;3
2000001508;137;1765;2
2000001509;165;1378;4
2000001510;129;1108;0
2000001511;123;1639;2
2000001512;106;1984;5
2000001513;114;1591;5
2000001514;110;1872;4
2000001515;197;1188;2
2000001516;189;1687;1
2000001517;127;1410;1
2000001518;165;1658;4
2000001519;171;1833;4
2000001520;185;1193;5
2000001521;150;1571;0
2000001522;114;1421;1
2000001523;119;1438;0
2000001524;175;1961;3
2000001525;154;1648;3
2000001526;127;1927;3
2000001527;171;1395;5
2000001528;128;1862;3
2000001529;196;1085;2
2000001530;125;1941;5
2000001531;194;1335;4
2000001532;131;1100;4
2000001533;118;1693;2
2000001534;165;1364;3
2000001535;109;1965;5
2000001536;129;1227;1
2000001537;153;1248;5
2000001538;127;1625;5
2000001539;111;1406;4
2000001540;150;1237;0
2000001541;111;1899;3
2000001542;132;1510;3
2000001543;126;1420;2
2000001544;180;1461;3
2000001545;106;1879;1
2000001546;108;1731;1
2000001547;160;1531;5
2000001548;194;1739;0
2000001549;153;1861;2
2000001550;114;1153;3
2000001551;199;1183;1
2000001552;126;1885;0
2000001553;171;1872;5
2000001554;142;1441;1
2000001555;119;1076;5
2000001556;181;1749;1
2000001557;183;1671;4
2000001558;173;1730;0
2000001559;148;1760;3
2000001560;106;1036;2
2000001561;144;1672;5
2000001562;105;1680;1
2000001563;123;1729;1
2000001564;148;1104;1
2000001565;177;1626;2
2000001566;100;1094;1
2000001567;141;1546;3
2000001568;180;1370;5
2000001569;159;1347;2
2000001570;107;1089;5
2000001571;130;1427;2
2000001572;159;1122;5
2000001573;159;1144;1
2000001574;144;1916;5
2000001575;117;1234;4
2000001576;110;1221;3
2000001577;190;1659;5
2000001578;144;1702;5
2000001579;115;1845;0
2000001580;199;1940;3
2000001581;172;1565;0
2000001582;100;1624;1
2000001583;114;1679;1
2000001584;109;1433;2
2000001585;116;1992;5
2000001586;117;1644;4
2000001587;163;1746;4
2000001588;138;1010;5
2000001589;104;1508;0
2000001590;154;1037;3
2000001591;126;1761;1
2000001592;175;1536;5
2000001593;192;1067;3
2000001594;118;1283;2
2000001595;143;1564;0
2000001596;113;1876;0
2000001597;130;1784;3
2000001598;178;1794;0
2000001599;198;1540;3
2000001600;141;1023;2
2000001601;171;1605;2
2000001602;147;1270;2
2000001603;114;1662;1
2000001604;111;1119;2
2000001605;149;1495;3
2000001606;124;1348;1
2000001607;130;1411;5
2000001608;152;1574;0
2000001609;104;1999;0
2000001610;112;1704;1
2000001611;114;1735;4
2000001612;110;1188;2
2000001613;130;1674;4
2000001614;159;1325;2
2000001615;109;1214;4
2000001616;176;1449;5
2000001617;168;1177;3
2000001618;139;1969;3
2000001619;121;1321;1
2000001620;144;1416;5
2000001621;171;1589;2
2000001622;186;1509;5
2000001623;151;1790;0
2000001624;128;1438;1
2000001625;181;1051;3
2000001626;160;1481;1
2000001627;159;1739;3
2000001628;173;1626;4
2000001629;179;1118;5
2000001630;142;1064;3
2000001631;146;1171;5
2000001632;168;1284;3
2000001633;164;1413;3
2000001634;150;1134;4
2000001635;141;1964;4
2000001636;196;1206;3
2000001637;105;1979;3
2000001638;169;1395;1
2000001639;191;1359;3
2000001640;112;1465;1
2000001641;101;1999;5
2000001642;170;1213;5
2000001643;178;1101;4
2000001644;148;1739;1
2000001645;194;1309;4
2000001646;127;1267;5
2000001647;164;1773;1
2000001648;146;1674;3
2000001649;104;1450;1
2000001650;143;1306;3
2000001651;178;1342;4
2000001652;124;1433;1
2000001653;196;1880;1
2000001654;161;1111;4
2000001655;129;1171;5
2000001656;148;1781;0
2000001657;122;1174;1
2000001658;109;1754;4
2000001659;105;1418;2
2000001660;171;1980;1
2000001661;141;1162;5
2000001662;165;1933;3
2000001663;117;1330;3
2000001664;187;1806;5
2000001665;166;1779;4
2000001666;167;1800;2
2000001667;126;1448;3
2000001668;163;1187;0
2000001669;113;1367;3
2000001670;193;1565;2
2000001671;144;1521;5
2000001672;125;1248;1
2000001673;157;1893;1
2000001674;134;1749;0
2000001675;127;1605;1
2000001676;114;1157;4
2000001677;154;1257;5
2000001678;196;1024;4
2000001679;172;1220;5
2000001680;108;1221;4
2000001681;182;1190;5
2000001682;102;1229;1
2000001683;163;1540;5
2000001684;130;1121;1
2000001685;193;1351;2
2000001686;135;1376;5
2000001687;122;1453;2
2000001688;187;1783;4
2000001689;131;1667;1
2000001690;103;1943;1
2000001691;136;1086;1
2000001692;184;1426;3
2000001693;126;1858;3
2000001694;152;1331;5
2000001695;170;1316;1
2000001696;147;1131;3
2000001697;152;1368;3
2000001698;186;1773;4
2000001699;151;1351;0
2000001700;173;1836;5
2000001701;179;1469;2
2000001702;109;1318;2
2000001703;196;1035;4
2000001704;128;1836;0
2000001705;132;1809;3
2000001706;178;1183;0
2000001707;136;1708;2
2000001708;186;1988;3
2000001709;139;1253;1
2000001710;162;1890;2
2000001711;124;1739;3
2000001712;118;1190;1
2000001713;161;1400;1
2000001714;147;1784;2
2000001715;142;1261;2
2000001716;146;1714;2
2000001717;162;1648;4
2000001718;118;1956;1
2000001719;105;1536;2
2000001720;114;1905;1
2000001721;106;1819;0
2000001722;165;1088;0
2000001723;109;1245;3
2000001724;131;1266;5
2000001725;185;1834;1
2000001726;169;1860;4
2000001727;174;1907;5
2000001728;114;1001;2
2000001729;141;1258;1
2000001730;196;1296;0
2000001731;198;1310;3
2000001732;171;1124;0
2000001733;111;1993;1
2000001734;177;1288;4
2000001735;112;1095;3
2000001736;124;1233;2
2000001737;109;1989;2
2000001738;128;1613;3
2000001739;184;1894;2
2000001740;158;1235;1
2000001741;111;1166;3
2000001742;194;1904;5
2000001743;159;1814;5
2000001744;187;1922;5
2000001745;141;1512;2
2000001746;110;1550;0
2000001747;175;1346;0
2000001748;177;1820;0
2000001749;190;1132;2
2000001750;158;1677;2
2000001751;145;1406;2
2000001752;137;1592;1
2000001753;110;1552;1
2000001754;141;1487;5
2000001755;146;1157;3
2000001756;122;1836;2
2000001757;143;1501;4
2000001758;101;1099;5
2000001759;197;1440;0
2000001760;152;1633;2
2000001761;122;1589;2
2000001762;179;1101;0
2000001763;134;1713;1
2000001764;115;1609;1
2000001765;139;1512;5
2000001766;139;1524;0
2000001767;154;1863;2
2000001768;180;1861;3
2000001769;183;1753;0
2000001770;176;1711;4
2000001771;169;1288;0
2000001772;150;1035;4
2000001773;179;1882;1
2000001774;159;1443;5
2000001775;120;1703;2
2000001776;160;1094;5
2000001777;144;1231;1
2000001778;119;1461;1
2000001779;196;1388;3
2000001780;188;1940;4
2000001781;171;1623;3
2000001782;143;1907;2
2000001783;169;1890;2
2000001784;101;1623;3
2000001785;119;1136;3
2000001786;199;1585;2
2000001787;106;1555;4
2000001788;102;1788;3
2000001789;182;1839;2
2000001790;195;1554;0
2000001791;142;1249;0
2000001792;174;1855;5
2000001793;180;1179;3
2000001794;101;1847;4
2000001795;156;1111;0
2000001796;101;1229;2
2000001797;107;1412;3
2000001798;106;1706;0
2000001799;152;1267;5
2000001800;139;1336;4
2000001801;128;1150;1
2000001802;153;1144;0
2000001803;135;1972;4
2000001804;124;1041;0
2000001805;141;1139;0
2000001806;167;1278;0
2000001807;140;1199;5
2000001808;178;1393;2
2000001809;151;1184;3
2000001810;133;1308;1
2000001811;153;1806;0
2000001812;116;1892;2
2000001813;122;1296;1
2000001814;106;1020;4
2000001815;109;1309;4
2000001816;189;1808;0
2000001817;147;1700;1
2000001818;184;1577;4
2000001819;132;1679;4
2000001820;162;1993;0
2000001821;129;1180;0
2000001822;102;1402;1
2000001823;197;1200;0
2000001824;135;1960;0
2000001825;160;1625;5
2000001826;111;1923;0
2000001827;101;1890;1
2000001828;105;1418;1
2000001829;144;1843;3
2000001830;159;1955;4
2000001831;188;1193;0
2000001832;123;1314;2
2000001833;125;1198;0
2000001834;168;1779;0
2000001835;157;1684;4
2000001836;150;1399;5
2000001837;184;1191;0
2000001838;128;1300;3
2000001839;124;1424;3
2000001840;165;1716;4
2000001841;107;1053;1
2000001842;137;1462;3
2000001843;143;1888;3
2000001844;123;1226;5
2000001845;122;1447;3
2000001846;169;1011;4
2000001847;148;1605;0
2000001848;141;1378;0
2000001849;185;1529;0
2000001850;189;1567;2
2000001851;161;1679;0
2000001852;112;1052;0
2000001853;112;1004;3
2000001854;170;1426;1
2000001855;182;1447;2
2000001856;170;1078;1
2000001857;115;1759;2
2000001858;155;1849;4
2000001859;185;1015;0
2000001860;118;1132;1
2000001861;141;1062;4
2000001862;151;1115;5
2000001863;181;1627;5
2000001864;199;1965;2
2000001865;130;1763;1
2000001866;169;1086;1
2000001867;134;1960;1
2000001868;140;1658;3
2000001869;120;1511;1
2000001870;181;1914;2
2000001871;100;1629;0
2000001872;116;1602;4
2000001873;176;1612;4
2000001874;143;1898;2
2000001875;168;1272;3
2000001876;159;1974;4
2000001877;194;1010;5
2000001878;173;1523;0
2000001879;139;1298;0
2000001880;160;1366;2
2000001881;168;1611;0
2000001882;112;1033;1
2000001883;165;1832;0
2000001884;114;1908;5
2000001885;102;1138;4
2000001886;102;1682;1
2000001887;187;1630;5
2000001888;180;1743;1
2000001889;126;1026;1
2000001890;111;1287;1
2000001891;117;1908;4
2000001892;177;1983;3
2000001893;130;1464;2
2000001894;199;1497;3
2000001895;123;1613;2
2000001896;193;1512;2
2000001897;172;1034;0
2000001898;110;1508;5
2000001899;189;1520;5
2000001900;115;1531;1
2000001901;176;1337;4
2000001902;120;1124;1
2000001903;159;1672;1
2000001904;173;1491;4
2000001905;192;1623;3
2000001906;188;1767;1
2000001907;121;1910;3
2000001908;160;1309;1
2000001909;175;1690;3
2000001910;175;1813;1
2000001911;133;1158;1
2000001912;135;1386;4
2000001913;177;1145;4
2000001914;104;1898;1
2000001915;166;1122;2
2000001916;168;1938;5
2000001917;193;1962;3
2000001918;109;1642;4
2000001919;110;1076;0
2000001920;149;1871;4
2000001921;178;1589;4
2000001922;159;1998;4
2000001923;181;1534;4
2000001924;196;1772;5
2000001925;192;1639;2
2000001926;111;1281;3
2000001927;175;1734;1
2000001928;192;1539;4
2000001929;100;1009;3
2000001930;123;1661;5
2000001931;106;1870;3
2000001932;163;1031;1
2000001933;126;1105;2
2000001934;193;1172;5
2000001935;140;1287;0
2000001936;153;1219;1
2000001937;123;1399;3
2000001938;194;1803;5
2000001939;102;1886;0
2000001940;168;1604;3
2000001941;176;1846;0
2000001942;197;1304;4
2000001943;153;1492;2
2000001944;170;1705;5
2000001945;151;1658;2
2000001946;172;1850;5
2000001947;188;1070;2
2000001948;166;1692;2
2000001949;128;1394;0
2000001950;151;1689;2
2000001951;105;1921;3
2000001952;191;1484;0
2000001953;197;1849;3
2000001954;114;1595;0
2000001955;145;1368;1
2000001956;161;1710;1
2000001957;109;1006;1
2000001958;102;1881;0
2000001959;168;1386;2
2000001960;175;1134;5
2000001961;156;1773;4
2000001962;130;1534;1
2000001963;181;1673;1
2000001964;123;1120;4
2000001965;132;1307;2
2000001966;190;1988;2
2000001967;110;1836;1
2000001968;130;1973;0
2000001969;178;1390;1
2000001970;104;1770;3
2000001971;125;1474;3
2000001972;116;1140;3
2000001973;147;1933;2
2000001974;163;1343;2
2000001975;161;1578;5
2000001976;146;1309;5
2000001977;104;1631;4
2000001978;141;1337;4
2000001979;129;1983;5
2000001980;176;1599;0
2000001981;149;1115;5
2000001982;192;1354;1
2000001983;185;1152;0
2000001984;112;1799;1
2000001985;118;1148;4
2000001986;120;1258;1
2000001987;138;1661;3
2000001988;111;1867;3
2000001989;165;1736;3
2000001990;147;1001;5
2000001991;114;1119;5
2000001992;163;1150;2
2000001993;163;1576;1
2000001994;173;1584;0
2000001995;126;1418;0
2000001996;133;1370;5
2000001997;131;1218;4
2000001998;101;1988;5
2000001999;186;1692;5
2000002000;199;1581;2
2000002001;120;1261;2
2000002002;112;1958;5
2000002003;108;1461;0
2000002004;108;1427;3
2000002005;197;1551;0
2000002006;136;1045;3
2000002007;139;1523;5
2000002008;198;1635;2
2000002009;154;1601;0
2000002010;127;1225;2
2000002011;119;1271;1
2000002012;143;1980;2
2000002013;151;1736;2
2000002014;199;1286;4
2000002015;159;1311;0
2000002016;100;1834;3
2000002017;180;1584;1
2000002018;101;1666;3
2000002019;141;1968;1
2000002020;148;1281;5
2000002021;148;1634;1
2000002022;160;1138;5
2000002023;195;1643;1
2000002024;153;1181;5
2000002025;165;1363;5
2000002026;105;1181;3
2000002027;182;1730;4
2000002028;145;1509;2
2000002029;165;1764;2
2000002030;120;1502;1
2000002031;105;1674;5
2000002032;109;1166;0
2000002033;122;1830;1
2000002034;143;1810;5
2000002035;104;1890;2
2000002036;171;1197;0
2000002037;149;1280;3
2000002038;194;1430;0
2000002039;143;1662;2
2000002040;193;1155;4
2000002041;180;1133;4
2000002042;149;1885;5
2000002043;115;1274;2
2000002044;181;1939;5
2000002045;169;1468;3
2000002046;116;1002;5
2000002047;118;1850;4
2000002048;185;1276;3
2000002049;199;1955;0
2000002050;121;1308;1
2000002051;140;1406;4
2000002052;115;1188;0
2000002053;131;1586;4
2000002054;198;1444;0
2000002055;102;1982;3
2000002056;154;1154;3
2000002057;180;1343;0
2000002058;108;1731;5
2000002059;105;1681;1
2000002060;173;1961;4
2000002061;121;1470;2
2000002062;134;1359;4
2000002063;104;1444;5
2000002064;104;1118;5
2000002065;178;1185;5
2000002066;157;1686;1
2000002067;115;1164;0
2000002068;102;1169;3
2000002069;169;1173;4
2000002070;115;1043;5
2000002071;120;1667;2
2000002072;176;1915;4
2000002073;143;1345;3
2000002074;155;1573;5
2000002075;137;1872;0
2000002076;113;1867;5
2000002077;144;1354;1
2000002078;108;1303;0
2000002079;175;1136;1
2000002080;112;1025;4
2000002081;123;1110;0
2000002082;141;1102;3
2000002083;166;1038;5
2000002084;158;1231;3
2000002085;198;1041;4
2000002086;137;1583;0
2000002087;124;1780;5
2000002088;109;1323;0
2000002089;150;1966;4
2000002090;133;1321;2
2000002091;105;1649;5
2000002092;143;1972;0
2000002093;118;1449;2
2000002094;139;1494;4
2000002095;180;1449;5
2000002096;185;1912;0
2000002097;123;1090;5
2000002098;143;1017;1
2000002099;157;1113;1
2000002100;113;1587;0
2000002101;158;1736;2
2000002102;158;1722;4
2000002103;141;1601;3
2000002104;182;1283;1
2000002105;166;1314;1
2000002106;104;1301;1
2000002107;155;1123;0
2000002108;121;1475;4
2000002109;105;1267;2
2000002110;115;1106;1
2000002111;124;1992;0
2000002112;147;1019;2
2000002113;192;1113;2
2000002114;134;1356;0
2000002115;167;1692;1
2000002116;131;1849;1
2000002117;151;1661;5
2000002118;102;1578;1
2000002119;197;1713;3
2000002120;138;1916;1
2000002121;171;1744;1
2000002122;142;1760;2
2000002123;151;1746;1
2000002124;155;1496;5
2000002125;162;1999;1
2000002126;179;1935;3
2000002127;127;1779;3
2000002128;174;1183;5
2000002129;168;1521;1
2000002130;122;1592;3
2000002131;137;1345;4
2000002132;199;1967;2
2000002133;127;1416;5
2000002134;141;1941;3
2000002135;139;1072;0
2000002136;141;1321;5
2000002137;129;1017;0
2000002138;151;1366;3
2000002139;157;1062;3
2000002140;116;1380;3
2000002141;132;1413;5
2000002142;117;1503;4
2000002143;171;1625;1
2000002144;191;1681;5
2000002145;117;1027;1
2000002146;151;1525;2
2000002147;118;1353;2
2000002148;122;1944;3
2000002149;172;1635;2
2000002150;123;1485;0
2000002151;148;1789;3
2000002152;117;1074;4
2000002153;142;1594;2
2000002154;186;1595;1
2000002155;134;1322;3
2000002156;101;1241;3
2000002157;121;1312;4
2000002158;110;1849;4
2000002159;173;1690;0
2000002160;156;1302;4
2000002161;191;1967;4
2000002162;105;1731;0
2000002163;171;1916;5
2000002164;177;1328;2
2000002165;149;1616;0
2000002166;158;1353;0
2000002167;174;1386;1
2000002168;185;1334;3
2000002169;190;1382;3
2000002170;130;1510;0
2000002171;167;1292;5
2000002172;121;1104;1
2000002173;101;1691;4
2000002174;168;1569;5
2000002175;157;1153;5
2000002176;119;1543;2
2000002177;151;1618;2
2000002178;167;1781;5
2000002179;180;1097;0
2000002180;185;1347;5
2000002181;156;1059;5
2000002182;187;1894;4
2000002183;139;1667;3
2000002184;140;1765;1
2000002185;142;1941;1
2000002186;125;1560;5
2000002187;116;1075;2
2000002188;114;1800;5
2000002189;116;1340;3
2000002190;195;1451;3
2000002191;116;1199;3
2000002192;150;1856;0
2000002193;146;1744;0
2000002194;191;1159;0
2000002195;104;1826;4
2000002196;169;1022;3
2000002197;127;1251;0
2000002198;115;1656;2
2000002199;144;1282;4
2000002200;154;1716;3
2000002201;160;1593;3
2000002202;152;1149;3
2000002203;181;1090;0
2000002204;118;1390;0
2000002205;183;1097;0
2000002206;181;1100;4
2000002207;123;1121;4
2000002208;117;1252;2
2000002209;113;1407;4
2000002210;108;1613;0
2000002211;109;1538;1
2000002212;111;1072;1
2000002213;160;1268;3
2000002214;169;1380;5
2000002215;104;1798;0
2000002216;179;1595;2
2000002217;165;1628;3
2000002218;105;1324;4
2000002219;151;1946;4
2000002220;161;1061;1
2000002221;196;1534;0
2000002222;153;1178;3
2000002223;159;1443;1
2000002224;136;1814;5
2000002225;142;1432;4
2000002226;189;1544;4
2000002227;126;1803;3
2000002228;169;1657;1
2000002229;102;1451;1
2000002230;140;1816;2
2000002231;135;1385;1
2000002232;101;1879;1
2000002233;154;1728;5
2000002234;133;1640;2
2000002235;166;1873;3
2000002236;173;1898;3
2000002237;176;1527;0
2000002238;141;1208;2
2000002239;116;1506;5
2000002240;117;1284;0
2000002241;190;1587;1
2000002242;132;1623;0
2000002243;126;1840;3
2000002244;199;1929;1
2000002245;141;1253;2
2000002246;186;1323;4
2000002247;149;1521;2
2000002248;123;1331;4
2000002249;119;1430;2
2000002250;174;1972;0
2000002251;146;1268;5
2000002252;125;1349;5
2000002253;110;1173;5
2000002254;100;1062;5
2000002255;104;1963;4
2000002256;170;1449;2
2000002257;134;1544;0
2000002258;150;1560;2
2000002259;153;1756;2
2000002260;157;1787;2
2000002261;125;1538;1
2000002262;177;1405;0
2000002263;155;1642;4
2000002264;171;1495;0
2000002265;128;1348;0
2000002266;153;1764;0
2000002267;177;1548;5
2000002268;165;1670;5
2000002269;158;1947;3
2000002270;104;1043;2
2000002271;113;1868;1
2000002272;153;1979;2
2000002273;153;1249;0
2000002274;194;1109;4
2000002275;124;1891;5
2000002276;192;1369;4
2000002277;135;1653;1
2000002278;180;1258;0
2000002279;107;1232;4
2000002280;127;1346;3
2000002281;170;1957;5
2000002282;180;1166;3
2000002283;120;1363;3
2000002284;165;1852;0
2000002285;192;1535;4
2000002286;198;1441;2
2000002287;185;1658;4
2000002288;170;1096;2
2000002289;159;1946;4
2000002290;195;1811;2
2000002291;157;1248;2
2000002292;179;1752;0
2000002293;106;1186;0
2000002294;146;1310;2
2000002295;154;1188;1
2000002296;107;1716;1
2000002297;130;1061;2
2000002298;108;1008;2
2000002299;110;1341;0
2000002300;148;1863;1
2000002301;114;1355;0
2000002302;113;1792;5
2000002303;189;1756;4
2000002304;104;1759;1
2000002305;172;1254;4
2000002306;136;1246;1
2000002307;103;1839;0
2000002308;124;1563;2
2000002309;144;1269;2
2000002310;161;1881;5
2000002311;152;1113;3
2000002312;199;1963;1
2000002313;179;1804;5
2000002314;134;1328;1
2000002315;152;1972;0
2000002316;110;1454;4
2000002317;152;1434;0
2000002318;167;1699;2
2000002319;101;1711;3
2000002320;105;1434;5
2000002321;178;1710;3
2000002322;129;1975;1
2000002323;149;1334;2
2000002324;117;1435;3
2000002325;140;1146;1
2000002326;177;1008;4
2000002327;133;1170;5
2000002328;185;1933;1
